"","uniqueID","NDVI","PRI","NDWI","fname.x","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE","Date.y","LWC","Water_Pot","Leaf_T","Air_T","Delta_T","VPD","Genotype","Average_Thickness","Par_Total","Wind_Speed","ratio","Obs","Ci","Trmmol","Cond","Photo","QC","Plant_ID","date"
"39","f08-2016-06-08",0.826773684824483,-0.00846231209228795,0.0544443622259065,"b2_pop_f08_aci_mb_06_08_2016",108.7109332,215.4451724,1.572976105,11.12025694,11.9523879,1.671245813,"2016-06-08",1.611,-0.55,31.22222222,33.57,-2.34777778,6.526124191,"52-276",0.346666667,564.3954,1.309,0.504587464128298,1,227,6.88,0.468,22.9,1,"f08",2016-06-08
"40","f08-2016-06-15",0.812616685241715,-0.0398308745091906,0.0485134003846303,"b2_pop_f08_aci_mb_06_15_2016",86.60026183,179.7016344,1.599897794,1.796803717,2.073308838,0.307922848,"2016-06-15",1.148,-0.52,36.72222222,31.16,5.56222222,6.781026696,"52-276",0.343333333,571.8975,3.821,0.48191137559292,1,229,6.46,0.228,17.5,-1,"f08",2016-06-15
"41","f08-2016-06-28",0.755236657691776,0.00243781404736896,0.044123666091212,"b2_pop_f08_aci_dl_06_28_2016",62.71660057,110.771487,1.315759413,2.187960366,2.023919698,0.36607858,"2016-06-28",1.474,-0.6,31.72222222,35.55,-3.82777778,6.641062354,"52-276",0.263333333,361.1764,1.894,0.566180000544725,1,313,8.69,0.499,14.6,-1,"f08",2016-06-28
"42","f08-2016-07-05",0.76490315343083,-0.0355274631703311,0.0467158851450512,"b2_pop_f08_aci_mb_07_05_2016",60.15816515,114.1938763,1.415941051,1.34307197,1.237619269,0.22969597,"2016-07-05",1.512,-0.34,31.05555556,33.6,-2.54444444,6.608588267,"52-276",0.243333333,561.0308,2.302,0.526807278106208,1,289,5.8,0.353,15.9,1,"f08",2016-07-05
"43","g11-2016-06-08",0.782771534231465,-0.0451807797511565,0.0595802099839714,"b2_pop_g11_aci_mb_06_08_2016",54.05364235,142.8684101,2.963677517,1.888221215,3.295611653,0.51732914,"2016-06-08",2.731,-0.31,31.05555556,33.57,-2.51444444,6.526124191,"R-270",0.196666667,564.3954,1.309,0.378345656063264,1,274,7.31,0.285,11.3,-1,"g11",2016-06-08
"44","g11-2016-06-15",0.77600903922022,-0.0120589748284032,0.0554743702743818,"b2_pop_g11_aci_mb_06_15_2016",67.09253106,169.6247512,2.70249091,2.857113277,4.416336176,0.625304794,"2016-06-15",2.03,-0.65,32.72222222,31.16,1.56222222,6.781026696,"R-270",0.286666667,571.8975,3.821,0.395535030031631,1,201,3.4,0.0894,9.14,-1,"g11",2016-06-15
"45","g11-2016-06-23",0.757700828380493,-0.00117409947382773,0.048563384324729,"b2_pop_g11_aci_dl_06_23_2016",65.74048169,143.8328936,1.452127397,3.636105148,4.723460584,0.781580112,"2016-06-23",1.853,-0.9,27.61111111,32.22,-4.60888889,6.551690341,"R-270",0.22,391.3776,2.058,0.457061524972338,1,303,8.23,0.497,16.8,-1,"g11",2016-06-23
"46","g11-2016-06-27",0.774472789997161,0.0157414872395189,0.0470295306394028,"b2_pop_g11_aci_dl_06_27_2016",93.50441606,149.224381,1.380986503,9.294867875,6.184673883,1.051018524,"2016-06-27",2.125,-0.41,27.11111111,32.78,-5.66888889,6.168079689,"R-270",0.256666667,549.0254,1.659,0.626602807352238,1,256,7.21,0.366,21.4,-1,"g11",2016-06-27
"47","g11-2016-07-05",0.757935612950793,0.0168861076952004,0.0475864070651268,"b2_pop_g11_aci_mb_07_05_2016",60.27444309,131.4862457,1.28679352,1.604463733,1.974439292,0.333475728,"2016-07-05",2.269,-0.42,33.61111111,33.6,0.011111111,6.608588267,"R-270",0.176666667,561.0308,2.302,0.45840873141608,1,219,2.43,0.116,11,1,"g11",2016-07-05
"48","h06-2016-06-09",0.809819921359269,0.00256482819017231,0.0602494711527756,"b2_pop_h06_aci_mb_06_09_2016",97.56199504,165.6308068,0.989752192,8.433321995,6.269438905,1.035866126,"2016-06-09",1.65,-0.27,27.16666667,30.99,-3.82333333,5.652529837,"R-270",0.31,557.0929,1.132,0.589032903509349,1,294,9.86,0.805,25.7,-1,"h06",2016-06-09
"49","h06-2016-06-16",0.741552017679283,-0.00509393488115674,0.0600835190640963,"b2_pop_h06_aci_af_06_16_2016",50.65470157,168.6846653,2.987575545,2.113782665,4.515967108,0.661335641,"2016-06-16",1.97,-0.49,30.22222222,30.91,-0.68777778,6.983322907,"R-270",0.213333333,574.5063,3.072,0.300292273040423,1,276,6.18,0.221,11.8,-1,"h06",2016-06-16
"50","h06-2016-06-24",0.759083833099158,0.022519874818472,0.0527354433210837,"b2_pop_h06_aci_dl_06_24_2016",78.0539734,138.8400274,1.174245684,2.363331834,2.189654708,0.37464806,"2016-06-24",1.846,-0.65,26.55555556,33.6,-7.04444444,6.418864133,"R-270",0.293333333,736.6464,2.966,0.562186387180157,1,296,9.1,0.524,18.8,-1,"h06",2016-06-24
"51","h06-2016-06-28",0.72167807922203,0.00526780458500304,0.0441076195905529,"b2_pop_h06_aci_dl_06_28_2016",48.17948132,101.699472,1.205307158,1.486686061,1.729726787,0.311053917,"2016-06-28",2.318,-0.39,32.44444444,35.55,-3.10555556,6.641062354,"R-270",0.19,361.1764,1.894,0.473743672140205,1,268,4.96,0.189,11.4,-1,"h06",2016-06-28
"52","h09-2016-06-09",0.775873842881779,-0.0138198681388092,0.0548906627170894,"b2_pop_h09_aci_mb_06_09_2016",59.3092072,158.5475806,2.110403123,3.326657874,6.318657919,0.962483281,"2016-06-09",2.207,-0.54,28.16666667,30.99,-2.82333333,5.652529837,"52-276",0.263333333,557.0929,1.132,0.37407828599814,1,304,8.51,0.482,16.3,-1,"h09",2016-06-09
"53","h09-2016-06-16",0.74369602294658,-0.0510356652753276,0.0481886282756324,"b2_pop_h09_aci_mb_06_16_2016",44.20334727,153.8692334,2.535923668,2.066450486,4.421028302,0.676712927,"2016-06-16",1.893,-0.77,33.38888889,30.91,2.47888889,6.983322907,"52-276",0.203333333,574.5063,3.072,0.287278660543453,1,294,10.4,0.307,11.8,-1,"h09",2016-06-16
"54","h09-2016-06-24",0.733144925788036,-0.00391646761776232,0.0402335502014193,"b2_pop_h09_aci_dl_06_24_2016",65.16565206,125.3716337,1.764877477,1.976001212,1.785953819,0.313593787,"2016-06-24",1.759,-0.45,27.66666667,33.6,-5.93333333,6.418864133,"52-276",0.223333333,736.6464,2.966,0.519779874735731,1,288,6.87,0.322,14.6,-1,"h09",2016-06-24
"55","h09-2016-06-28",0.743892179164004,-0.000892059070608768,0.0363448792318892,"b2_pop_h09_aci_dl_06_28_2016",49.57619097,89.38423808,0.897242295,2.918071393,2.0837421,0.391071899,"2016-06-28",1.643,-0.42,34.16666667,35.55,-1.38333333,6.641062354,"52-276",0.206666667,361.1764,1.894,0.554641310760278,1,231,3.8,0.125,10.5,-1,"h09",2016-06-28
"56","h09-2016-07-06",0.764669774109983,-0.0295712475983205,0.0312125346455392,"b2_pop_h09_aci_af_07_06_2016",65.31134424,135.8959032,1.430561417,0.949865064,1.150271715,0.170509777,"2016-07-06",1.148,-0.32,34.16666667,33.6,0.56666667,6.608588267,"52-276",0.186666667,561.0308,2.302,0.48059833079648,1,166,2.11,0.0639,8.15,-1,"h09",2016-07-06
